"filename", "language", "XML", "Markdown", "JSON", "C#", "comment", "blank", "total"
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shiziku\.idea\workspace.xml", "XML", 193, 0, 0, 0, 0, 0, 193
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.agent.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.ask.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.ask2agent.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.edit.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\projectSettingsUpdater.xml", "XML", 8, 0, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\statistic.xml", "XML", 14, 0, 0, 0, 0, 0, 14
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\workspace.xml", "XML", 290, 0, 0, 0, 0, 0, 290
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.agent.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.ask.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.ask2agent.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.edit.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\Assets\Editor\ControlFlowPort.cs", "C#", 0, 0, 0, 87, 28, 19, 134
"u:\projects\game\Unity\Shizuku\Assets\Editor\ControlFlowPortContainer.cs", "C#", 0, 0, 0, 47, 13, 11, 71
"u:\projects\game\Unity\Shizuku\Assets\Editor\CustomGroup.cs", "C#", 0, 0, 0, 37, 12, 14, 63
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphView.cs", "C#", 0, 0, 0, 294, 38, 63, 395
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphViewExtensions.cs", "C#", 0, 0, 0, 41, 9, 8, 58
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphWindow.cs", "C#", 0, 0, 0, 48, 1, 9, 58
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuNodeView.cs", "C#", 0, 0, 0, 197, 15, 32, 244
"u:\projects\game\Unity\Shizuku\Assets\Scripts\GraphRunner.cs", "C#", 0, 0, 0, 13, 2, 3, 18
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintBehavior.cs", "C#", 0, 0, 0, 71, 63, 19, 153
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintExtensions.cs", "C#", 0, 0, 0, 58, 21, 9, 88
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\EXAMPLE_EnemyBlueprint.cs", "C#", 0, 0, 0, 85, 0, 1, 86
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\ShizukuBluePrint.cs", "C#", 0, 0, 0, 86, 66, 29, 181
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\GroupData.cs", "C#", 0, 0, 0, 25, 3, 7, 35
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\ParameterEdge.cs", "C#", 0, 0, 0, 56, 2, 9, 67
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\ShizukuGraphBase.cs", "C#", 0, 0, 0, 67, 0, 15, 82
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\BlueprintEventNode.cs", "C#", 0, 0, 0, 80, 68, 22, 170
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizikuAddOneNode.cs", "C#", 0, 0, 0, 21, 0, 7, 28
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuForNode.cs", "C#", 0, 0, 0, 11, 0, 2, 13
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuIfNode.cs", "C#", 0, 0, 0, 27, 0, 7, 34
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuLogNode.cs", "C#", 0, 0, 0, 18, 0, 5, 23
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuRootNode.cs", "C#", 0, 0, 0, 17, 0, 6, 23
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ParameterEdgePort.cs", "C#", 0, 0, 0, 64, 3, 18, 85
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ShizukuNodeBase.cs", "C#", 0, 0, 0, 96, 5, 22, 123
"u:\projects\game\Unity\Shizuku\Assets\TutorialInfo\Scripts\Editor\ReadmeEditor.cs", "C#", 0, 0, 0, 195, 1, 47, 243
"u:\projects\game\Unity\Shizuku\Assets\TutorialInfo\Scripts\Readme.cs", "C#", 0, 0, 0, 14, 0, 3, 17
"u:\projects\game\Unity\Shizuku\Packages\manifest.json", "JSON", 0, 0, 48, 0, 0, 1, 49
"u:\projects\game\Unity\Shizuku\Packages\packages-lock.json", "JSON", 0, 0, 474, 0, 0, 1, 475
"u:\projects\game\Unity\Shizuku\ProjectSettings\SceneTemplateSettings.json", "JSON", 0, 0, 121, 0, 0, 0, 121
"u:\projects\game\Unity\Shizuku\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"Total", "-", 581, 2, 643, 1755, 350, 390, 3721
