"filename", "language", "Markdown", "C#", "comment", "blank", "total"
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintBehavior.cs", "C#", 0, 37, 19, 8, 64
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintExtensions.cs", "C#", 0, -26, -8, -4, -38
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintOverridableAttribute.cs", "C#", 0, 10, 13, 3, 26
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\EXAMPLE_EnemyBlueprint.cs", "C#", 0, -19, 7, 13, 1
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\ShizukuBluePrint.cs", "C#", 0, 6, -6, -3, -3
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\BlueprintEventNode.cs", "C#", 0, -6, -6, -2, -14
"u:\projects\game\Unity\Shizuku\CHANGELOG.md", "Markdown", 55, 0, 0, 25, 80
"u:\projects\game\Unity\Shizuku\Docs\ARCHITECTURE.md", "Markdown", 581, 0, 0, 155, 736
"u:\projects\game\Unity\Shizuku\Docs\CONTRIBUTING.md", "Markdown", 328, 0, 0, 105, 433
"u:\projects\game\Unity\Shizuku\Docs\NODE_DEVELOPMENT.md", "Markdown", 252, 0, 0, 67, 319
"u:\projects\game\Unity\Shizuku\Docs\PROJECT_STRUCTURE.md", "Markdown", 308, 0, 0, 73, 381
"u:\projects\game\Unity\Shizuku\Docs\QUICK_REFERENCE.md", "Markdown", 233, 0, 0, 68, 301
"u:\projects\game\Unity\Shizuku\Docs\ROADMAP.md", "Markdown", 281, 0, 0, 91, 372
"u:\projects\game\Unity\Shizuku\README.md", "Markdown", 700, 0, 0, 211, 911
"Total", "-", 2738, 2, 19, 810, 3569
