"filename", "language", "Markdown", "XML", "C#", "JSON", "comment", "blank", "total"
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shiziku\.idea\workspace.xml", "XML", 0, 193, 0, 0, 0, 0, 193
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.agent.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.ask.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.ask2agent.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.edit.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\indexLayout.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\projectSettingsUpdater.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\statistic.xml", "XML", 0, 14, 0, 0, 0, 0, 14
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\workspace.xml", "XML", 0, 290, 0, 0, 0, 0, 290
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.agent.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.ask.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.ask2agent.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.edit.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\indexLayout.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\Assets\Editor\ControlFlowPort.cs", "C#", 0, 0, 87, 0, 28, 19, 134
"u:\projects\game\Unity\Shizuku\Assets\Editor\ControlFlowPortContainer.cs", "C#", 0, 0, 47, 0, 13, 11, 71
"u:\projects\game\Unity\Shizuku\Assets\Editor\CustomGroup.cs", "C#", 0, 0, 37, 0, 12, 14, 63
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphView.cs", "C#", 0, 0, 294, 0, 38, 63, 395
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphViewExtensions.cs", "C#", 0, 0, 41, 0, 9, 8, 58
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphWindow.cs", "C#", 0, 0, 48, 0, 1, 9, 58
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuNodeView.cs", "C#", 0, 0, 197, 0, 15, 32, 244
"u:\projects\game\Unity\Shizuku\Assets\Scripts\GraphRunner.cs", "C#", 0, 0, 13, 0, 2, 3, 18
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintBehavior.cs", "C#", 0, 0, 108, 0, 82, 27, 217
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintExtensions.cs", "C#", 0, 0, 32, 0, 13, 5, 50
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintOverridableAttribute.cs", "C#", 0, 0, 10, 0, 13, 3, 26
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\EXAMPLE_EnemyBlueprint.cs", "C#", 0, 0, 66, 0, 7, 14, 87
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\ShizukuBluePrint.cs", "C#", 0, 0, 92, 0, 60, 26, 178
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\GroupData.cs", "C#", 0, 0, 25, 0, 3, 7, 35
