"filename", "language", "XML", "C#", "Markdown", "ShaderLab", "comment", "blank", "total"
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\workspace.xml", "XML", 4, 0, 0, 0, 0, 0, 4
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphView.cs", "C#", 0, 15, 0, 0, 1, 0, 16
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuNodeView.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Attributes.xml", "XML", 6178, 0, 0, 0, 2, 262, 6442
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Editor.xml", "XML", 11200, 0, 0, 0, 0, 113, 11313
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.Config.xml", "XML", 202, 0, 0, 0, 0, 1, 203
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.xml", "XML", 9858, 0, 0, 0, 0, 7, 9865
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.Editor.xml", "XML", 9771, 0, 0, 0, 2, 18, 9791
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.xml", "XML", 3710, 0, 0, 0, 0, 4, 3714
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\link.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\ExtractSpriteShader.shader", "ShaderLab", 0, 0, 0, 44, 1, 6, 51
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\GUIUtilShader.shader", "ShaderLab", 0, 0, 0, 80, 3, 15, 98
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\LazyEditorIconShader.shader", "ShaderLab", 0, 0, 0, 41, 7, 9, 57
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\SdfIconShader.shader", "ShaderLab", 0, 0, 0, 81, 0, 14, 95
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Mathematics\MathematicsDrawers.cs", "C#", 0, 744, 0, 0, 29, 110, 883
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\BlueprintBehavior.cs", "C#", 0, -16, 0, 0, -38, -7, -61
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\EXAMPLE_EnemyBlueprint.cs", "C#", 0, -14, 0, 0, 0, -1, -15
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\ShizukuBluePrint.cs", "C#", 0, 39, 0, 0, -11, 6, 34
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\ParameterEdge.cs", "C#", 0, 1, 0, 0, 0, 0, 1
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\ShizukuGraphBase.cs", "C#", 0, 3, 0, 0, 0, 0, 3
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\BlueprintEventNode.cs", "C#", 0, -15, 0, 0, -62, -5, -82
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\PropertyNodes.cs", "C#", 0, 173, 0, 0, 43, 47, 263
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\README_PropertyNodes.md", "Markdown", 0, 0, 176, 0, 0, 68, 244
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizikuAddOneNode.cs", "C#", 0, 0, 0, 0, 0, -1, -1
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuForNode.cs", "C#", 0, 0, 0, 0, 0, -1, -1
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuIfNode.cs", "C#", 0, -7, 0, 0, 0, -1, -8
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuRootNode.cs", "C#", 0, 29, 0, 0, 1, 0, 30
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ParameterEdgePort.cs", "C#", 0, 4, 0, 0, 0, 1, 5
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ShizukuNodeBase.cs", "C#", 0, -56, 0, 0, -5, -12, -73
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ShizukuRunnableNode.cs", "C#", 0, 68, 0, 0, 0, 13, 81
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ShizukuValueNode.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"Total", "-", 40929, 983, 176, 246, -27, 669, 42976
