"filename", "language", "XML", "JSON", "Markdown", "C#", "ShaderLab", "comment", "blank", "total"
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shiziku\.idea\workspace.xml", "XML", 193, 0, 0, 0, 0, 0, 0, 193
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.agent.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.ask.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.ask2agent.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\copilot.data.migration.edit.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\projectSettingsUpdater.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\statistic.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 14
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\.idea.Shizuku\.idea\workspace.xml", "XML", 294, 0, 0, 0, 0, 0, 0, 294
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.agent.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.ask.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.ask2agent.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\copilot.data.migration.edit.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"u:\projects\game\Unity\Shizuku\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\Assets\Editor\ControlFlowPort.cs", "C#", 0, 0, 0, 87, 0, 28, 19, 134
"u:\projects\game\Unity\Shizuku\Assets\Editor\ControlFlowPortContainer.cs", "C#", 0, 0, 0, 47, 0, 13, 11, 71
"u:\projects\game\Unity\Shizuku\Assets\Editor\CustomGroup.cs", "C#", 0, 0, 0, 37, 0, 12, 14, 63
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphView.cs", "C#", 0, 0, 0, 309, 0, 39, 63, 411
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphViewExtensions.cs", "C#", 0, 0, 0, 41, 0, 9, 8, 58
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuGraphWindow.cs", "C#", 0, 0, 0, 48, 0, 1, 9, 58
"u:\projects\game\Unity\Shizuku\Assets\Editor\ShizukuNodeView.cs", "C#", 0, 0, 0, 197, 0, 15, 33, 245
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Attributes.xml", "XML", 6178, 0, 0, 0, 0, 2, 262, 6442
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Editor.xml", "XML", 11200, 0, 0, 0, 0, 0, 113, 11313
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.Config.xml", "XML", 202, 0, 0, 0, 0, 0, 1, 203
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.xml", "XML", 9858, 0, 0, 0, 0, 0, 7, 9865
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.Editor.xml", "XML", 9771, 0, 0, 0, 0, 2, 18, 9791
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.xml", "XML", 3710, 0, 0, 0, 0, 0, 4, 3714
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Assemblies\link.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\ExtractSpriteShader.shader", "ShaderLab", 0, 0, 0, 0, 44, 1, 6, 51
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\GUIUtilShader.shader", "ShaderLab", 0, 0, 0, 0, 80, 3, 15, 98
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\LazyEditorIconShader.shader", "ShaderLab", 0, 0, 0, 0, 41, 7, 9, 57
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\SdfIconShader.shader", "ShaderLab", 0, 0, 0, 0, 81, 0, 14, 95
"u:\projects\game\Unity\Shizuku\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Mathematics\MathematicsDrawers.cs", "C#", 0, 0, 0, 744, 0, 29, 110, 883
"u:\projects\game\Unity\Shizuku\Assets\Scripts\GraphRunner.cs", "C#", 0, 0, 0, 13, 0, 2, 3, 18
